,Movie Name,Movie Year,Movie Rank
0,Rubber,2010,5.8
1,Wrong Cops,2013,6.0
2,Into the Okavango,2018,7.7
3,Voo Directo,2010–2011,7.6
4,Jikulumessu,2014–2015,8.2
5,Sambizanga,1972,6.8
6,Air Conditioner,2020,5.9
7,Windeck,2012– ,6.8
8,Njinga Rainha de Angola,2013,6.6
9,Freaks,2017,5.0
10,Unsettled: Seeking Refuge in America,2019,8.0
11,Serpentário,2019,7.0
12,A Ilha dos Cães,2017,5.6
13,O Herói,2004,6.6
14,I Love Kuduro,2014,7.0
15,O Grande Kilapy,2012,6.2
16,Death Metal Angola,2012,7.5
17,Na Cidade Vazia,2004,6.6
18,Havemos de Voltar,2017,None
19,O escolhido/The chosen one,2019,None
20,Bangaologia - The science of style,2016,7.3
21,Order of the Dragon,2018 TV Movie,None
22,Liberdade,2011,5.7
23,Rostov-Luanda,1998,7.1
24,Querida Preciosa,2018– ,None
25,Dias Santana,2016,5.0
26,Sempre a Subir,2009– ,None
27,Ivory. A Crime Story,2016,6.4
28,O Miradouro da Lua,1993,6.6
29,Caravana,1992,7.4
30,Nelisita,1982,6.4
31,Vidas Ocultas,2001– ,None
32,Hora Quente,2017– ,None
33,Oxalá Cresçam Pitangas,2007,6.9
34,Kangamba,2009,6.6
35,Los dioses de agua,2014,6.5
36,Through Foreign Eyes,2018,None
37,O Ritmo do N'Gola Ritmos,1978,None
38,Vontade de Vencer,2015,5.6
39,Des fusils pour Banta,1970,None
40,Regresso a Sizalinda,2010– ,5.2
41,11Eleven Project,2012,5.6
42,El Último País,2017,None
43,Ear of the Beholder,2016,None
44,The Strongest Heart,2005,None
45,No Caminho das Estrelas,1980,None
46,Independência,2015,7.1
47,Cartas para Angola,2012,8.6
48,Monangambé,1968,7.3
49,Mopiopio,1991,None
