,Municipality,CBS Code,Provience,Population,Population Density,Land Area
0,Aa en Hunze,1680,Drenthe,"25,386",92/km2 (240/sq mi),276.09 km2 (106.60 sq mi)
1,Aalsmeer,0358,North Holland,"31,728","1,577/km2 (4,080/sq mi)",20.12 km2 (7.77 sq mi)
2,Aalten,0197,Gelderland,"27,011",280/km2 (730/sq mi),96.54 km2 (37.27 sq mi)
3,Achtkarspelen,0059,Friesland,"27,852",272/km2 (700/sq mi),102.23 km2 (39.47 sq mi)
4,Alblasserdam,0482,South Holland,"20,069","2,286/km2 (5,920/sq mi)",8.78 km2 (3.39 sq mi)
5,Albrandswaard,0613,South Holland,"25,271","1,165/km2 (3,020/sq mi)",21.69 km2 (8.37 sq mi)
6,Alkmaar,0361,North Holland,"108,558","983/km2 (2,550/sq mi)",110.46 km2 (42.65 sq mi)
7,Almelo,0141,Overijssel,"72,849","1,083/km2 (2,800/sq mi)",67.27 km2 (25.97 sq mi)
8,Almere,0034,Flevoland,"207,904","1,609/km2 (4,170/sq mi)",129.19 km2 (49.88 sq mi)
9,Alphen aan den Rijn,0484,South Holland,"110,986","879/km2 (2,280/sq mi)",126.23 km2 (48.74 sq mi)
10,Alphen-Chaam,1723,North Brabant,"10,149",109/km2 (280/sq mi),93.04 km2 (35.92 sq mi)
11,Altena,1959,North Brabant,"55,386",276/km2 (710/sq mi),200.63 km2 (77.46 sq mi)
12,Ameland,0060,Friesland,"3,673",62/km2 (160/sq mi),59.11 km2 (22.82 sq mi)
13,Amersfoort,0307,Utrecht,"156,286","2,496/km2 (6,460/sq mi)",62.62 km2 (24.18 sq mi)
14,Amstelveen,0362,North Holland,"90,838","2,208/km2 (5,720/sq mi)",41.13 km2 (15.88 sq mi)
15,Amsterdam,0363,North Holland,"862,965","5,214/km2 (13,500/sq mi)",165.50 km2 (63.90 sq mi)
16,Apeldoorn,0200,Gelderland,"162,445","478/km2 (1,240/sq mi)",339.89 km2 (131.23 sq mi)
17,Appingedam,0003,Groningen,"11,721","493/km2 (1,280/sq mi)",23.78 km2 (9.18 sq mi)
18,Arnhem,0202,Gelderland,"159,265","1,628/km2 (4,220/sq mi)",97.82 km2 (37.77 sq mi)
19,Assen,0106,Drenthe,"67,963","830/km2 (2,100/sq mi)",81.89 km2 (31.62 sq mi)
20,Asten,0743,North Brabant,"16,710",238/km2 (620/sq mi),70.17 km2 (27.09 sq mi)
21,Baarle-Nassau,0744,North Brabant,"6,847",90/km2 (230/sq mi),76.14 km2 (29.40 sq mi)
22,Baarn,0308,Utrecht,"24,767","761/km2 (1,970/sq mi)",32.54 km2 (12.56 sq mi)
23,Barendrecht,0489,South Holland,"48,673","2,465/km2 (6,380/sq mi)",19.75 km2 (7.63 sq mi)
